Date;Code du port;Nom du port;Trafic total (en tonnes);Nombre d'EVP (source CCI MBO);Trafic produits pétroliers (en tonnes);Trafic vrac agroalimentaire (en tonnes);Trafic produits chimiques et engrais (en tonnes)
2016-03;FRBES;BREST;211669;;;;
2016-04;FRBES;BREST;160859;;;;
2016-11;FRBES;BREST;217987;;;;
2016-12;FRBES;BREST;335934;;;;
2017-08;FRBES;BREST;193282;4094;23457;;
2017-09;FRBES;BREST;199679;3376;104593;;
2018-03;FRBES;BREST;193758;4542;46296;;
2018-04;FRBES;BREST;281103;4363;102536;;
2018-07;FRBES;BREST;219645;2697;46667;;
2018-12;FRBES;BREST;223238;3040;84111;;
2019-06;FRBES;BREST;229815;3549;59631;102137;3596
2019-07;FRBES;BREST;198518;2767;34123;92667;4982
2019-10;FRBES;BREST;237666;5299;57429;110771;3788
2019-12;FRBES;BREST;198204;4192;83490;67971;5579
2020-05;FRBES;BREST;209488;1879;53046;96771;2845
2020-06;FRBES;BREST;278990;3240;78309;141223;3441
2020-10;FRBES;BREST;213665;4584;59819;89538;6678
2020-11;FRBES;BREST;309840;5537;67042;149980;4719
2016-02;FRLRT;LORIENT;148996;;;;
2016-05;FRLRT;LORIENT;203848;;;;
2016-06;FRLRT;LORIENT;164859;;;;
2017-01;FRLRT;LORIENT;210970;;;89848;83463
2017-05;FRLRT;LORIENT;160081;;;77593;39505
2017-06;FRLRT;LORIENT;197464;;;41920;83953
2018-02;FRLRT;LORIENT;169366;;;62599;45407
2018-04;FRLRT;LORIENT;232463;;;72277;82341
2018-09;FRLRT;LORIENT;174437;;;74858;46874
2018-12;FRLRT;LORIENT;179156;;;111021;82724
2019-01;FRLRT;LORIENT;212305;;89655;71576;
2019-03;FRLRT;LORIENT;318737;;76163;172584;
2019-07;FRLRT;LORIENT;237733;;78086;78403;
2019-08;FRLRT;LORIENT;207119;;84070;52779;
2019-11;FRLRT;LORIENT;158446;;70819;14097;
2020-01;FRLRT;LORIENT;132565;;61551;17325;
2020-04;FRLRT;LORIENT;185183;;76273;77786;
2020-09;FRLRT;LORIENT;177616;;75272;28378;
2020-11;FRLRT;LORIENT;252974;;90545;65770;
2016-07;FRROS;ROSCOFF;63570;;;;
2016-08;FRROS;ROSCOFF;70752;;;;
2016-12;FRROS;ROSCOFF;29414;;;;
2017-02;FRROS;ROSCOFF;15701;;;;
2017-05;FRROS;ROSCOFF;48695;;;;
2017-06;FRROS;ROSCOFF;57351;;;;
2017-09;FRROS;ROSCOFF;60634;;;;
2017-10;FRROS;ROSCOFF;40886;;;;
2018-02;FRROS;ROSCOFF;9016;;;;
2018-05;FRROS;ROSCOFF;50848;;;;
2018-06;FRROS;ROSCOFF;67608;;;;
2018-08;FRROS;ROSCOFF;76870;;;;
2018-11;FRROS;ROSCOFF;9906;;;;
2018-12;FRROS;ROSCOFF;7410;;;;
2019-02;FRROS;ROSCOFF;18951;;;1650;
2019-03;FRROS;ROSCOFF;36171;;;2500;
2019-07;FRROS;ROSCOFF;50363;;;;3308
2019-09;FRROS;ROSCOFF;51918;;;;6089
2019-10;FRROS;ROSCOFF;44978;;;2749;2634
2020-02;FRROS;ROSCOFF;11270;;;2671;
2020-06;FRROS;ROSCOFF;7773;;;2751;
2020-08;FRROS;ROSCOFF;41906;;;4068;3586
2020-10;FRROS;ROSCOFF;17038;;;;3460
2016-01;FRLLG;LE LÉGUÉ;31124;;;;
2016-05;FRLLG;LE LÉGUÉ;18124;;;;
2016-10;FRLLG;LE LÉGUÉ;23869;;;;
2016-12;FRLLG;LE LÉGUÉ;25915;;;;
2017-02;FRLLG;LE LÉGUÉ;29832;;;;
2017-06;FRLLG;LE LÉGUÉ;27155;;;;
2017-07;FRLLG;LE LÉGUÉ;10032;;;;
2017-09;FRLLG;LE LÉGUÉ;20814;;;;
2017-10;FRLLG;LE LÉGUÉ;23487;;;;
2017-11;FRLLG;LE LÉGUÉ;32377;;;;
2018-05;FRLLG;LE LÉGUÉ;13332;;;;
2018-08;FRLLG;LE LÉGUÉ;10887;;;;
2018-12;FRLLG;LE LÉGUÉ;19195;;;;
2019-01;FRLLG;LE LÉGUÉ;23661;;;10889;6000
2019-02;FRLLG;LE LÉGUÉ;31988;;;6646;8820
2019-03;FRLLG;LE LÉGUÉ;20862;;;12778;2550
2019-05;FRLLG;LE LÉGUÉ;23804;;;11815;4401
2019-08;FRLLG;LE LÉGUÉ;17386;;;8685;1330
2020-01;FRLLG;LE LÉGUÉ;38616;;;17648;8346
2020-05;FRLLG;LE LÉGUÉ;21255;;;7454;5861
2020-07;FRLLG;LE LÉGUÉ;34336;;;15076;5707
2020-10;FRLLG;LE LÉGUÉ;41550;;;18132;9363
2020-11;FRLLG;LE LÉGUÉ;32270;;;8725;5956
2016-01;FRSML;SAINT-MALO;120676;;;;
2016-02;FRSML;SAINT-MALO;132858;;;;
2016-08;FRSML;SAINT-MALO;81903;;;;
2016-09;FRSML;SAINT-MALO;114408;;;;
2016-11;FRSML;SAINT-MALO;102429;;;;
2017-02;FRSML;SAINT-MALO;87510;;;17492;33849
2017-05;FRSML;SAINT-MALO;98883;;;22879;34971
2017-07;FRSML;SAINT-MALO;81469;;;7503;29981
2017-09;FRSML;SAINT-MALO;98726;;;11942;35989
2017-11;FRSML;SAINT-MALO;130838;;;29986;55475
2018-07;FRSML;SAINT-MALO;92856;;;12342;28624
2018-08;FRSML;SAINT-MALO;119125;;;21442;39762
2019-02;FRSML;SAINT-MALO;83700;;;13277;21501
2019-03;FRSML;SAINT-MALO;88501;;;19099;20108
2019-04;FRSML;SAINT-MALO;103128;;;31043;11455
2019-06;FRSML;SAINT-MALO;121425;;;14463;57526
2019-07;FRSML;SAINT-MALO;128418;;;14236;51612
2019-12;FRSML;SAINT-MALO;83689;;;30571;21404
2020-01;FRSML;SAINT-MALO;94456;;;24696;40474
2020-04;FRSML;SAINT-MALO;53412;;;20769;21670
2020-10;FRSML;SAINT-MALO;74186;;;7969;37492
2016-01;FRBES;BREST;221443;;;;
2016-02;FRBES;BREST;210787;;;;
2016-06;FRBES;BREST;193091;;;;
2016-07;FRBES;BREST;215970;;;;
2016-10;FRBES;BREST;162470;;;;
2017-01;FRBES;BREST;134929;2949;55140;;
2017-05;FRBES;BREST;158482;3371;25491;;
2017-07;FRBES;BREST;223712;4209;106315;;
2017-10;FRBES;BREST;207634;3832;57361;;
2017-11;FRBES;BREST;206376;3671;59721;;
2017-12;FRBES;BREST;202560;4111;57552;;
2018-01;FRBES;BREST;223810;2988;73486;;
